,keywords,question_text,y_pred
422,"['calculus', 'indefinite', 'integrals', 'substitution']"," Evaluate the indefinite integral:  $PAR    \( \displaystyle{ \int e^{$a x}($a) \, dx} = \)    \{ans_rule(30) \} + \( C\).   ","['substitution', 'integrals', 'indefinite', 'calculus']"
423,"['calculus', 'derivatives', 'maximum/minimum', 'critical points']","\{ beginproblem() \} \{ textbook_ref_exact(""Rogawski ET 2e"", ""4.2"",""55"") \} $PAR Find the maximum and minimum values of the function \(f(x)=$fx\) on the interval [1,$end].  $PAR The minimum value =  \{ans_rule()\}  $PAR The maximum value =  \{ans_rule()\} ","['derivatives', 'critical points', 'maximum/minimum', 'calculus']"
424,"['predicate', 'logic']","Complete the following truth table by filling in the blanks with T or F as appropriate. $PAR END_TEXT  TEXT(begintable(1+scalar(@header))); BEGIN_TEXT \{ row(@header)\} END_TEXT TEXT( 	row(""T"",""T"",""T"",ans_rule(10),ans_rule(10),ans_rule(20),ans_rule(10),ans_rule(20)), 	row(""T"",""T"",""F"",ans_rule(10),ans_rule(10),ans_rule(20),ans_rule(10),ans_rule(20)), 	row(""T"",""F"",""T"",ans_rule(10),ans_rule(10),ans_rule(20),ans_rule(10),ans_rule(20)), 	row(""T"",""F"",""F"",ans_rule(10),ans_rule(10),ans_rule(20),ans_rule(10),ans_rule(20)), 	row(""F"",""T"",""T"",ans_rule(10),ans_rule(10),ans_rule(20),ans_rule(10),ans_rule(20)), 	row(""F"",""T"",""F"",ans_rule(10),ans_rule(10),ans_rule(20),ans_rule(10),ans_rule(20)), 	row(""F"",""F"",""T"",ans_rule(10),ans_rule(10),ans_rule(20),ans_rule(10),ans_rule(20)), 	row(""F"",""F"",""F"",ans_rule(10),ans_rule(10),ans_rule(20),ans_rule(10),ans_rule(20)), endtable()  );  ANS(str_cmp($Aa[3]) ); ANS(str_cmp($Aa[4]) ); ANS(str_cmp($Aa[5]) ); ANS(str_cmp($Aa[6]) ); ANS(str_cmp($Aa[7]) );  ANS(str_cmp($Ab[3]) ); ANS(str_cmp($Ab[4]) ); ANS(str_cmp($Ab[5]) ); ANS(str_cmp($Ab[6]) ); ANS(str_cmp($Ab[7]) );  ANS(str_cmp($Ac[3]) ); ANS(str_cmp($Ac[4]) ); ANS(str_cmp($Ac[5]) ); ANS(str_cmp($Ac[6]) ); ANS(str_cmp($Ac[7]) );  ANS(str_cmp($Ad[3]) ); ANS(str_cmp($Ad[4]) ); ANS(str_cmp($Ad[5]) ); ANS(str_cmp($Ad[6]) ); ANS(str_cmp($Ad[7]) );  ANS(str_cmp($Ae[3]) ); ANS(str_cmp($Ae[4]) ); ANS(str_cmp($Ae[5]) ); ANS(str_cmp($Ae[6]) ); ANS(str_cmp($Ae[7]) );   ANS(str_cmp($Af[3]) ); ANS(str_cmp($Af[4]) ); ANS(str_cmp($Af[5]) ); ANS(str_cmp($Af[6]) ); ANS(str_cmp($Af[7]) );   ANS(str_cmp($Ag[3]) ); ANS(str_cmp($Ag[4]) ); ANS(str_cmp($Ag[5]) ); ANS(str_cmp($Ag[6]) ); ANS(str_cmp($Ag[7]) );  ANS(str_cmp($Ah[3]) ); ANS(str_cmp($Ah[4]) ); ANS(str_cmp($Ah[5]) ); ANS(str_cmp($Ah[6]) ); ANS(str_cmp($Ah[7]) );  $cmc=new_checkbox_multiple_choice();  $cmc -> qa ( ""$LQ\( [p \rightarrow q] \vee [ p \rightarrow r] \)$RQ and $LQ\( p \rightarrow [q \vee r]   \)$RQ are"", ""logically equivalent"" );  $cmc -> extra( ""not logically equivalent"", ""not logically comparable"" );   BEGIN_TEXT $PAR \{ $cmc -> print_q \} $PAR \{ $cmc -> print_a \}",['truth table']
425,['vectors basis linearly independent dependent'],"  If \(k\) is a real number, then  the vectors  \( (1, k),  (k,  k+ $d) \) are linearly independent precisely when  \( k \ne a, b \),  where  \(a= \)\{ans_rule(10)\},  \(b = \)  \{ans_rule(10)\}, and \( a<b \). END_TEXT }else{ BEGIN_TEXT   If \(k\) is a real number, then the vectors  \( (1, k),  (k, $c k+ $d) \) are linearly independent precisely when  \( k \ne a, b \),  where  \(a= \)\{ans_rule(5)\},  \(b = \)  \{ans_rule(5)\}, and \( a<b \).",[]
426,['integration by parts']," $PAR Evaluate the following integral: \[\int_{0}^{\,1} {$a (x^2+1) e^{-x}}\, dx\]  $PAR \{ans_rule(30)\} ",[]
427,['logarithms'],"Using laws of logarithms, write the expression below as a single logarithm. $PAR \( $expression = $logtype \big( \) \{ ans_rule(30) \} \( \big) \) \{ AnswerFormatHelp(""formulas"") \}",['logarithms']
428,"['expeonential function', 'exponential function', 'algebra']","Find the exponential function \(f(x)=C a^x\) whose graph goes through the points \( (0,$b) \) and \( ($a,$y) \).  \(a=\) \{ans_rule(10) \},  \(C=\) \{ans_rule(10) \}. ","['exponential function', 'algebra']"
429,"['sum-to-product', 'analytic trigonometry', 'algebra']","Use the sum-to-product formula to simplify the expression:  If \( \sin $b^\circ + \sin $a^\circ = \sin A^\circ, 0<A<90 \), then  \(A =\) \{ans_rule(10)\} degrees. ","['analytic trigonometry', 'sum-to-product', 'algebra']"
430,"['exponent', 'algebra']","The expression  \[ x^{$c}\left(\frac{1}{$a} x^{$d}\right)($b1 x^{-$e}) \] equals  \(c/x^e\) where  the coefficient \(c\) is \{ ans_rule(10) \},  the exponent \(e\) is \{ ans_rule(10) \}.",['algebra']
431,['calculus']," Evaluate the definite integral.  \[ \int_{0}^{$a \sin(\frac{\pi}{$n})} \frac{x^3}{\sqrt{$a2-x^2}} dx \]   \{ans_rule( 50) \}  [NOTE:  Remember to enter all necessary *, (, and )  !!       Enter arctan(x) for  \( \tan^{-1} x \) , sin(x) for \( \sin x \) ... ]","['substitution', 'integrals', 'integration', 'calculus']"
432,"['functions', 'interval notation', 'range', 'domain', 'input', 'output']"," Use a graph to find the range of the function on the given interval below:  \[ $f \quad\mbox{on}\quad  $x_low \leq x \leq $x_high \] $PAR On a separate piece of paper sketch a graph of \(f(x)\) and determine the domain and range. $PAR What is the range of \(f(x)\) on this interval? \{ ans_rule(25) \} \{ AnswerFormatHelp(""inequalities"") \}  END_TEXT  ANS( $range->cmp() );  $dx = $x_high- ($x_low); $dy = $i+2;  $f = ""sqrt($a-x^2) for x in <$x_low,$x_high> using color:blue and weight:2""; $graph = init_graph($x_low-1,-1,$x_high+1,$i+1,'axes'=>[0,0],                     'ticks'=>[$dx+1,$dy]); $graph->lb('reset'); for ($j = $x_low; $j <= -1; $j++){      $graph->lb(new Label($j-.1,-0.1,$j,'black','left','top')) }; for ($j = 1; $j <= $i; $j++){      $graph->lb(new Label(-0.1,$j+.1,$j,'black','right','top')) }; for ($j = 1; $j <= $x_high; $j++){      $graph->lb(new Label($j+.1,-0.1,$j,'black','right','top')) }; $point[0] = closed_circle( $x_low,0, black ); $point[1] = closed_circle( $x_high, sqrt($a - $x_high*$x_high), black); $graph -> stamps(@point); plot_functions( $graph, $f);  SOLUTION(EV3(<<'END_SOLUTION')); $PAR $BBOLD SOLUTION $EBOLD  The graph of \( y = f(x) \) over \( $x_low \leq x \leq $x_high \) is drawn below:  $BCENTER \{ image(insertGraph($graph), width => 200, height => 200, tex_size => 700) \} $ECENTER","['domain', 'output', 'algebra', 'input', 'range', 'interval notation', 'functions']"
433,"['calculus', 'volumes', 'integrals']","Find the volume of the solid formed by rotating the region enclosed by  \[x=0, \quad x=1, \quad y=0, \quad y= $a +x^{$k}    \]  about the \(x\)-axis.  Volume = \{ans_rule( 25) \}",[]
434,"['analytic trigonometry', 'trigonometric identities', 'algebra']","If \(0\le u< \pi/2\) and \(x=\sec u\), then \( \sqrt{x^2-1} = f(u), \) where  \(f(u)=\) \{ans_rule(10)\}. ",['algebra']
435,['vectors span'],"Let \( \vec{u} = $u \) and \( \vec{v} = $v \). Find a vector \( \vec{w} \) ${BBOLD}not${EBOLD} in \( \mathrm{span}\left\lbrace \vec{u}, \vec{v} \right\rbrace \).   \( \vec{w} = \) \{ $answer->ans_array \}","['vector', 'dot product', 'cross product']"
436,"['derivatives', 'logarithmic functions']"," If \( f(x) = $a1 \log_{$b1}(x) \), find \( f''( x ) \).    \( f''( x ) = \) \{ans_rule(50) \}  ",['higher derivative']
437,['triple integrals']," Suppose \(R\) is the solid bounded by the plane \( z = $k x \),  the surface \( z = x^2 \), and the planes \( y = 0 \) and  \( y = $b \).  Write an iterated integral in the form below  to find the volume of the solid \(R\).   \( \displaystyle \iiint\limits_R f(x,y,z) \, dV = \int_A^B \!\! \int_C^D \!\! \int_E^F   \) \{ans_rule(30)\} \( \, dz \, dy \, dx \)  with limits of integration  A = \{ans_rule(20)\}  B = \{ans_rule(20)\}  C = \{ans_rule(20)\}  D = \{ans_rule(20)\}  E = \{ans_rule(20)\}  F = \{ans_rule(20)\}  ","['triple integral', 'multiple integral', 'double integral']"
438,"['slope', 'derivatives', 'mean value theorem', 'calculus', 'mean value']","Consider the function \( f(x) = $a1 -$b1 x^2 \) on the interval \( [ $c1 , $d1 ] \).  (A) Find the average or mean slope of the function on this interval, i.e.   $BCENTER \(\displaystyle{\frac { f($d1) - f($c1) }{ $d1 - ($c1) } = }\) \{ans_rule(40) \} $ECENTER  EOT $ans = -$b1*($c1+$d1); ANS(num_cmp($ans)); TEXT(EV2(<<EOT));  (B) By the Mean Value Theorem, we know there exists a \( c \) in the open interval \( ($c1, $d1) \) such that \( f'( c) \) is equal to this mean slope.  For this problem, there is only one  \( c \) that works.  Find it. $PAR   \( c \) =  \{ans_rule(40) \}","['derivatives', 'slope', 'mean value']"
439,"['trigonometric', 'integrals', 'substitution']", Evaluate the definite integral.  \[ \int_{0}^{\frac{1}{$a}} \frac{$b}{1 + $c x^2} dx \]  Answer:  \{ans_rule( 30) \} ,"['substitution', 'integrals', 'substitution rule', 'integral substitution', 'calculus']"
440,"['count', 'set', 'exclusion', 'probability', 'inclusion', 'set theory', 'inclusion exclusion']","How many elements are in the union of four sets if each of the sets has $a elements,  each pair of sets share  $b  elements, each triple of sets shares  $c  elements  and there are  $d  elements in all four sets.  \{ ans_rule(40) \} $PAR",[]
441,"['algebra', 'graph', 'vertices', 'hyperbolas', 'foci', 'conics']","Find an equation of the hyperbola that has vertices \((0,0)\) and \((0,-$b1)\) and foci \((0,$c2)\) and \((0,-$c1)\).$PAR Equation: \{ans_rule(30)\} \( =1 \)","['graph', 'hyperbolas', 'conics']"
442,['equations']," Expand the expression $expression and combine  like terms.  Simplify your answer as much as possible.   \{ ans_rule(30) \} \{ AnswerFormatHelp(""formula"") \} ",[]
443,"['linear equations', 'matrices', 'system', 'systems']","Determine if the matrix $PAR\[ $dA \]$PAR is in echelon form, reduced row echelon form, or neither. Choose the ${BITALIC}most appropriate${EITALIC} answer. $PAR Answer: \{$pop->menu()\}. END_TEXT Context()->normalStrings;   ########################################################################### # check the answer   ########################################################################### ANS($pop->cmp());   ########################################################################### # solution ########################################################################### BEGIN_SOLUTION ${BBOLD}SOLUTION:${EBOLD} Reduced row echelon form. END_SOLUTION Context()->normalStrings;  COMMENT('Created in 2013.","['systems', 'linear equations', 'matrices', 'system']"
444,"['graph', 'tree', 'forest']",$PAR Construct a simple graph that is a forest with vertices \( $vertices \) such that the degree of \($vertlabel\) is $degree and there are $comp components.  $PAR What is the edge set? \{ ans_rule(70) \}  ,['graph']
445,['algebra linear equations'],"A woman has $ttl coins in her pocket, all of which are dimes and quarters. If the total value of the coins is $DOLLAR \{ sprintf(""%.2f"",$value) \}, how many dimes and how many quarters does she have?  Your answer is:  Number of dimes equals \{ans_rule(25) \}  Number of quarters equals \{ans_rule(25) \} ",[]
446,"['financial mathematics', 'algebra']","Find all values of  \( x \) that satisfy the equation  \[$a1 x^4-$b1 x^3 - $c1 x^2 = 0.\] List the values below, separated by commas. (Note: you may need to carry your answers to several decimal places.) $PAR Values of \(x\) =  \{ans_rule(25) \} ","['algebra', 'calculus']"
447,"['cosine', 'sine', 'degrees', 'radians']","An angle of \( \displaystyle $a[$i] \) radians can be converted to an angle of \{ ans_rule(5) \} degrees. \{ AnswerFormatHelp(""numbers"") \} END_TEXT Context()->normalStrings;  ANS(Compute(""$z[$i]"")->cmp() );  #ANS(num_cmp( $z[$i] ) );   Context()->texStrings; SOLUTION(EV3(<<'END_SOLUTION')); $PAR $BBOLD  SOLUTION $EBOLD $PAR  In order to change from radians to degrees, we multiply the number of radians by \( \frac{180}{\pi} \), so we have $PAR \( $a[$i] \cdot \frac{180}{\pi} = $z[$i]^{\circ} \)",[]
448,['subspaces'],"\{ textbook_ref_exact(""Holt Linear Algebra"", ""2.2"",""32"") \}  $PAR Let  \(A =  \left[{\begin{matrix}$A11 & $A12 & $A13 \cr $A21 & $A22 & $A23 \cr   $A31 & $A32 & $A33 \cr \end{matrix}}\right]\). $PAR We want to determine if the system  \(A{\bf x}={\bf b}\) has a solution for every \({\bf b} \in {\mathbb R}^3\).$PAR To check this we add \{ans_rule(6)\} times the first row to the second.    We then add \{ans_rule(6)\} times the first row to the third.    We then add \{ans_rule(6)\} times the new second row to the new third row.    We conclude that  $PAR \{ $mc->print_a() \} $PAR  END_TEXT Context()->normalStrings;  $showPartialCorrectAnswers = 1;  ANS(num_cmp(-$m21/$m11)); ANS(num_cmp(-$m31/$m11)); ANS(num_cmp(-$m32/$m22)); ANS( radio_cmp( $mc->correct_ans() ) );   Context()->texStrings; SOLUTION(EV3(<<'END_SOLUTION')); $PAR SOLUTION $PAR Row reducing shows us $PAR \[\left[{\begin{matrix}$A11 & $A12 & $A13 & $A14 \cr $A21 & $A22 & $A23& $A24  \cr   $A31 & $A32 & $A33& $A34  \cr \end{matrix}}\right]\sim \left[\begin{matrix}$red11 & $red12 & $red13 & $red14 \cr $red21 & $red22 & $red23 & $red24 \cr  $red31 & $red32 & $red33 & $red34 \cr \end{matrix}\right] \] $PAR Since we have a row of zeros, we conclude that there not is a solution for every \({\bf b} \in {\mathbb R}^3\). END_SOLUTION Context()->normalStrings;  ENDDOCUMENT(); ##\{ textbook_ref_exact(""Holt Linear Algebra"", ""2.2"",""32"") \} ## DBsubject(Linear algebra) ## DBchapter(Euclidean spaces) ## DBsection(Span) ## Institution(Saint Louis University) ## Author(Mike May) ## Level(3) ## TitleText1('Linear Algebra') ## AuthorText1('Holt') ## EditionText1('') ## Section1('2.2') ## Problem1('32') ## KEYWORDS('subspaces')  DOCUMENT(); loadMacros( ""PGstandard.pl"", ""PGchoicemacros.pl"", ""PGcourse.pl"", ""parserPopUp.pl"", ""MathObjects.pl"", ""freemanMacros.pl"", );  # make sure we're in the context we want Context(""Numeric""); # We start by producing the row reduced matrix. # This is upper triangular $red11=1; $red12=random(1,5,1)*random(-1,1,2); $red13=random(1,5,1)*random(-1,1,2); $red21=0; $red22=1; $red23=random(1,5,1)*random(-1,1,2); $red31=0; $red32=0; $red33=0;  # Next we produce the scalars that will be used in Gauss elimination. # This is an lower triangular matrix $m11=random(1,6,1)*random(-1,1,2); $m12=0; $m13=0; $m21=random(1,5,1)*random(-1,1,2); $m22=random(1,5,1)*random(-1,1,2); $m23=0; $m31=random(1,5,1)*random(-1,1,2); $m32=random(1,5,1)*random(-1,1,2); $m33=random(1,5,1)*random(-1,1,2);  # We are ready to produce our matrix A. $A11=$m11*$red11+$m12*$red21+$m13*$red31; $A12=$m11*$red12+$m12*$red22+$m13*$red32; $A13=$m11*$red13+$m12*$red23+$m13*$red33; $A21=$m21*$red11+$m22*$red21+$m23*$red31; $A22=$m21*$red12+$m22*$red22+$m23*$red32; $A23=$m21*$red13+$m22*$red23+$m23*$red33; $A31=$m31*$red11+$m32*$red21+$m33*$red31; $A32=$m31*$red12+$m32*$red22+$m33*$red32; $A33=$m31*$red13+$m32*$red23+$m33*$red33;   # the arguments of PopUp are [list of answers],  #    correct answer $mc = new_multiple_choice(); $mc->qa( """", ""There is not a solution for every \({\bf b} \in {\mathbb R}^3\)."" ); $mc->extra( ""There is a solution for every \({\bf b} \in {\mathbb R}^3\)."", ); $mc->makeLast(""We cannot tell if there is a solution for every \({\bf b} \in {\mathbb R}^3\)."");  TEXT(beginproblem()); $showPartialCorrectAnswers = 0; Context()->texStrings; BEGIN_TEXT \{ textbook_ref_exact(""Holt Linear Algebra"", ""2.2"",""32"") \}  $PAR Let  \(A =  \left[{\begin{matrix}$A11 & $A12 & $A13 \cr $A21 & $A22 & $A23 \cr   $A31 & $A32 & $A33 \cr \end{matrix}}\right]\). $PAR We want to determine if the system  \(A{\bf x}={\bf x}\) has a solution for every \({\bf b} \in {\mathbb R}^3\).$PAR To check this we add \{ans_rule(6)\} times the first row to the second.    We then add \{ans_rule(6)\} times the first row to the third.    We then add \{ans_rule(6)\} times the new second row to the new third row.    We conclude that  $PAR \{ $mc->print_a() \} $PAR ","['subspaces', 'multiplication']"
449,"['logarithms', 'log', 'ln', 'half-life', 'continuous growth rate', 'double-time']"," Convert the exponential equation \( Q = e^{$k t} \) to the form \( Q = ab^{t} \) and enter the values of \(a\) and \(b\) below. $PAR \( a = \) \{ ans_rule(10) \} \{ AnswerFormatHelp(""numbers"") \}  \( b = \) \{ ans_rule(10) \} \{ AnswerFormatHelp(""numbers"") \} ","['logarithms', 'half-life', 'log', 'continuous growth rate', 'double-time', 'ln']"
450,"['inverse functions', 'algebra']",Let \( f(x) =  $f \). Find \(f^{-1}(x)\). $PAR \(f^{-1}(x)\) = \{ans_rule(40)\},[]
451,['algebra'],"Find the greatest common factors of the pairs of numbers below.  I recommend you use the  \{htmlLink(""http://www.math.utah.edu/online/1010/euclid/"", ""Euclidean Algorithm"")\}.  EOT  @primes = (3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,97);  $i=random(1,20,1); $j=random(1,19,1); if ($i==$j) {$j++;} $k=random(1,18,1); if ($k==$i) {$k++;} if ($k==$j) {$k++;} if ($k==$i) {$k++;}  $a=$primes[$i]; $b=$primes[$j]; $c=$primes[$k];  $ab=$a*$b; $ac=$a*$c;  if ($i == 20) {$ab = 1; $ac = 1; $a = 1;} if ($j == 20) {$ab = 1; $ac = 1; $a = 1;} if ($k == 20) {$ab = 1; $ac = 1; $a = 1;}  TEXT(EV2(<<EOT));  \(\hbox{gcf}($ab,$ac) = \) \{ ans_rule(5) \} EOT ANS(num_cmp($a));  $i=random(1,20,1); $j=random(1,19,1); if ($i==$j) {$j++;} $k=random(1,18,1); if ($k==$i) {$k++;} if ($k==$j) {$k++;} if ($k==$i) {$k++;}  $a=$primes[$i]; $b=$primes[$j]; $c=$primes[$k];  $ab=$a*$b; $ac=$a*$c;  if ($i == 20) {$ab = 1; $ac = 1; $a = 1;} if ($j == 20) {$ab = 1; $ac = 1; $a = 1;} if ($k == 20) {$ab = 1; $ac = 1; $a = 1;}  TEXT(EV2(<<EOT));  \(\hbox{gcf}($ab,$ac) = \) \{ ans_rule(5) \} EOT ANS(num_cmp($a));  $i=random(1,20,1); $j=random(1,19,1); if ($i==$j) {$j++;} $k=random(1,18,1); if ($k==$i) {$k++;} if ($k==$j) {$k++;} if ($k==$i) {$k++;}  $a=$primes[$i]; $b=$primes[$j]; $c=$primes[$k];  $ab=$a*$b; $ac=$a*$c;  if ($i == 20) {$ab = 1; $ac = 1; $a = 1;} if ($j == 20) {$ab = 1; $ac = 1; $a = 1;} if ($k == 20) {$ab = 1; $ac = 1; $a = 1;}  TEXT(EV2(<<EOT));  \(\hbox{gcf}($ab,$ac) = \) \{ ans_rule(5) \} EOT ANS(num_cmp($a));     TEXT(EV3(<<'EOT'));  Hint:  Keep dividing with remainder.  The greatest common factor is the last divisor before the remainder is zero.",['algebra']
452,"['calculus', 'derivative']"," Find the equations of the lines that pass through the point  \( ($a,$b ) \) and are parallel to and perpendicular to the line with equation \( y +$c x=$d \).  Parallel: \( y= \) \{ans_rule(35) \}  Perpendicular: \( y= \) \{ans_rule(35) \} ","['differentiation', 'algebra']"
453,['partial differentiation'],"Suppose that \(z = f(x,y)\) is defined implicitly by an equation of the form \(F (x,y,z) = 0 \).  Find formulas for the partial derivatives     \(\frac{\partial f}{\partial x} \) and \(\frac{\partial f}{\partial y} \) in terms of \(F_1, F_2, F_3 \).   To enter your answer use F1, F2, F3 as the partial derviatives of \(F\) with respect to its first, second, and third variables.   \( \frac{\partial f}{\partial x} = \)\{ans_rule(20)\}  \( \frac{\partial f}{\partial y} = \)\{ans_rule(20)\}",['multivariable']
454,"['functions', 'algebra', 'multiplicity', 'polynomial function', 'polynomial', 'complex zero']","Find all of the zeros of \( P(x)=$p \) and list them below with zeros repeated according to their multiplicity.       Zeros: \{ ans_rule(20) \}  $BBOLD Note:$EBOLD enter the zeros as a list of complex numbers, where each zero is repeated according to its multiplicity, such as 5, 5, 3-4i, 5+i.","['polynomial', 'complex zero', 'algebra', 'polynomial function', 'functions']"
455,"['vectors', 'dot product']", Find a normal vector \(\vec n\) to the plane \( z - $a (x - $b) = $c($d - y) \)  $PAR \(\vec n = \) \{ ans_rule(35) \} ,"['vector', 'dot product', 'vectors']"
456,"['conditional', 'probability']"," \{ image(insertGraph($graph),height=>200,width=>200) \}  A sample space contains six sample points and events \( A \), \( B \), and \( C \) as shown  in the Venn diagram. The probablities of the sample points are \( P(1)=$a, \)  \( P(2)=$b, \) \( P(3)=$c, \) \( P(4)=$d, \) \( P(5)=$e, \) \( P(6)=$f.\)  Use the Venn diagram and the probabilities of the sample points to find:   (a) \( \) $quest1[$tag1] \(=\) \{ans_rule(15)\}   (b) \( \) $quest2[$tag2] \(=\) \{ans_rule(15)\}   (c) \( \) $quest3[$tag3] \(=\) \{ans_rule(15)\} ","['conditional', 'probability']"
457,"['acceleration', 'derivatives', 'distance', 'antiderivatives', 'velocity', 'derivatives antiderivativesheight acceleration velocity']","A ball is shot straight up into the air with initial velocity of  \(!{$initialSpeed}\) ft/sec.  Assuming that the air resistance  can be ignored, how high does it go? $PAR \{ans_rule(30)\} $PAR Hint:  The acceleration due to gravity is 32 ft per second squared. EOT  ANS(num_cmp($height));  SOLUTION(EV3(<<'EOF')); $SOL  First, recall the relationship between position,  instantaneous velocity, and instantaneous acceleration.  If  \( s(t) \) is the position of the ball at time t (i.e. the height), \( v(t) \)  the velocity, and \( a(t) \) the acceleration, then:  \[   \begin{aligned}     v(t) & = s'(t) \\     a(t) & = v'(t) = s''(t)   \end{aligned} \]  So in our specific problem, we are reminded that the acceleration due to gravity is a constant 32 ft per second squared, in the negative direction. So, we know that \( a(t) = -32 \).  In order to find out how high the ball goes, we will need to first find out what the formula for instantaneous velocity looks like.  Using the relationship above, and the fact that the antiderivative of a constant \( D \) is \( Dx + C \) for another  constant \( C \), we get:  \[   v(t) = -32t + C_1 \]  To find the constant \( C_1 \), notice that we are told that the initial velocity of the ball is \(!{$initialSpeed}\) ft/sec. Therefore, \(v(0) = -32(0) + C_1 = C_1 = $initialSpeed\).  So, the formula for velocity is:  \[   v(t) = -32t + $initialSpeed \]  Now, we need to find the formula for the position of the ball.  This is \( s(t) \), the antiderivative of the velocity formula we just found.  Using the general rules for finding antiderivatives, we see that:  \[   s(t) = -16t^2 + {$initialSpeed}t + C_2 \]  Again, we need to find out what the constant, \( C_2 \) in this case, is equal to.  We can assume that the ball is shot from the ground, which is at height 0.  Therefore, the initial height of the ball, \( s(0) \), is 0 making the constant \( C_2 = 0 \).  Therefore, the final formula for position is:  \[   s(t) = -16t^2+{$initialSpeed}t \]  Finally, to find out how high the ball goes, we need to think about what happens when the ball reaches its maximum height.  At that point, the ball will pause for just an instant before starting to fall back to the ground. It that instant, the velocity of the ball is 0.  So, if we determine the time at which the ball has velocity 0, and then find its height at that time, we will know how high the ball goes. $PAR To find out when the velocity of the ball is 0, we set the velocity formula equal to 0 and compute as follows:  \[   \begin{aligned}     v(t) &= 0 \\     -32t + $initialSpeed &= 0 \\     32t &= $initialSpeed \\     t &= \frac{$initialSpeed}{32} = !{$topTime:%5.4f}   \end{aligned} \]  Therefore, the maximum height of the ball is:  \[   s(!{$topTime:%5.4f}) =   -16(!{$topTime:%5.4f})^2+{$initialSpeed}(!{$topTime:%5.4f}) = !{$height:%5.4f} \] ","['derivatives', 'distance', 'derivatives antiderivatives acceleration velocity', 'velocity', 'indefinite', 'acceleration', 'antiderivative', 'antiderivatives']"
458,['inequalities'],Let \(f(x) = $a x ? {$b}\) and \(g(x) = $c x + $d\).  Find all values of \(x\) for which \(f(x)<$e\) or \(g(x)<$f\). $PAR Answer:  \{ ans_rule(20) \},[]
459,['factoring'],Factor completely:  $PAR \( $polynomial = \)  \{ ans_rule(30) \} ,['factoring']
460,['plane equation']," Consider the plane which passes through the three points:  \( ($p[0], $p[1], $p[2])\) , \( ($q[0], $q[1], $q[2])\), and \(($r[0], $r[1], $r[2]) \).  END_TEXT  ## Compute the cross product of @u and @v @n = (); $n[0] = $u[1]*$v[2] - $v[1]*$u[2]; $n[1] = $v[0]*$u[2] - $u[0]*$v[2]; $n[2] = $u[0]*$v[1] - $v[0]*$u[1];  if ($n[0] != 0) { BEGIN_TEXT $PAR Find the vector normal to this plane which has the form:  ( $n[0], \{ans_rule(10)\}, \{ans_rule(10)\} ) END_TEXT  ANS(num_cmp($n[1])); ANS(num_cmp($n[2])); } elsif ($n[1] != 0) { BEGIN_TEXT $PAR Find the vector normal to this plane which has the form:  ( \{ans_rule(10)\}, $n[1], \{ans_rule(10)\}  ) END_TEXT  ANS(num_cmp($n[0])); ANS(num_cmp($n[2])); } else { BEGIN_TEXT $PAR Find the vector normal to this plane which has the form:  ( \{ans_rule(10)\}, \{ans_rule(10)\}, $n[2] ) ","['three-dimensional', 'vectors', 'normal', 'calculus', 'functions']"
461,['calculus'],If \[ f(x) = \sin ( \sin ( x )) \] then  \( f'( x ) = \)  \{ans_rule(50) \}.,"['derivatives', 'trigonometry', 'chain rule', 'derivative', 'calculus']"
462,['equations']," Is \( t = 0 \) a solution to the equation \( \displaystyle t + $b = \frac{ $b - t }{t} \)?  \{ pop_up_list([""?"",""Yes"",""No""]) \}  ",[]
463,"['simpson rule', 'approximate integration']"," $PAR The figure shows a pendulum with length \(L\) that makes a maximum angle \(\theta_0\) with the vertical.  Using Newton's Second Law it can be shown that the period \(T\) (the time for one complete swing) is given by \[T=4\sqrt{\frac{L}{g}}\int_{0}^{\,\pi/2} {\frac{1}{\sqrt{1-k^2\sin^2(x)}}}\,dx\] where \(k=\sin\left(\frac{1}{2}\theta_0\right)\) and \(g\) is the acceleration due to gravity.  $PAR If \(L\) = 1 m and \(\theta_0=42^{\circ},\) use Simpson's Rule with \(n\) = 10 to estimate the period.  Give your answer correct to two decimal places.  $PAR  \{ image( $pictID1, height => 258, width => 355, tex_size=>300 )  \}  $PAR Period \(\approx\) \{ans_rule(30)\} ","['local maxima and minima', 'differentiation']"
464,['derivatives'],"The function \(f\) has  a continuous second derivative, and it satisfies \(f($c) = $f\), \(f'($c) = $fp\) and \(f''($c) = $fpp\). $PAR \{ $mc1->print_q() \} \{ $mc1->print_a() \}   $PAR",[]
465,['equations']," (a)    \{ $mc->print_q() \} \{ $mc->print_a() \}  (b) Give the solution of the equation \( -$a = $b + r \).  \( r = \) \{ ans_rule(10) \} \{ AnswerFormatHelp(""number"") \} ",['algebra']
